date,equity,cash,regime,n_positions,drawdown,qqq_close,long_exposure,short_exposure,gross_exposure,net_exposure
2023-01-03T00:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,259.1838684082031,0.0,0.0,0.0,0.0
2023-01-04T00:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,260.41864013671875,0.0,0.0,0.0,0.0
2023-01-05T00:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,256.34197998046875,0.0,0.0,0.0,0.0
2023-01-06T00:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,263.4173889160156,0.0,0.0,0.0,0.0
2023-01-09T00:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,265.12255859375,0.0,0.0,0.0,0.0
2023-01-10T00:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,267.3666687011719,0.0,0.0,0.0,0.0
2023-01-11T00:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,271.9922180175781,0.0,0.0,0.0,0.0
2023-01-12T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,273.46209716796875,0.0,0.0,0.0,0.0
2023-01-13T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,275.34368896484375,0.0,0.0,0.0,0.0
2023-01-17T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,275.9023132324219,0.0,0.0,0.0,0.0
2023-01-18T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,272.3155822753906,0.0,0.0,0.0,0.0
2023-01-19T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,269.64019775390625,0.0,0.0,0.0,0.0
2023-01-20T00:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,277.0194091796875,0.0,0.0,0.0,0.0
2023-01-23T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,283.1736755371094,0.0,0.0,0.0,0.0
2023-01-24T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,282.5955505371094,0.0,0.0,0.0,0.0
2023-01-25T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,281.9683837890625,0.0,0.0,0.0,0.0
2023-01-26T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,287.4659423828125,0.0,0.0,0.0,0.0
2023-01-27T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,290.3274841308594,0.0,0.0,0.0,0.0
2023-01-30T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,284.4573974609375,0.0,0.0,0.0,0.0
2023-01-31T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,288.7203674316406,0.0,0.0,0.0,0.0
2023-02-01T00:00:00Z,100000.0,100000.0,RECOVERY,0,0.0,294.8941955566406,0.0,0.0,0.0,0.0
2023-02-02T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,305.4779357910156,0.0,0.0,0.0,0.0
2023-02-03T00:00:00Z,99900.0999000999,0.0,RISK_ON,14,0.0009990009990010003,300.0489196777344,99900.0999000999,0.0,99900.0999000999,99900.0999000999
2023-02-06T00:00:00Z,99863.23403173701,0.0,RISK_ON,14,0.0013676596826298919,297.5107116699219,99863.23403173701,0.0,99863.23403173701,99863.23403173701
2023-02-07T00:00:00Z,100413.82198424092,0.0,RISK_ON,14,0.0,303.6747741699219,100413.82198424092,0.0,100413.82198424092,100413.82198424092
2023-02-08T00:00:00Z,98466.05368803054,0.0,RISK_ON,14,0.01939741220602137,298.2751159667969,98466.05368803054,0.0,98466.05368803054,98466.05368803054
