date,equity,cash,regime,n_positions,drawdown,qqq_close,long_exposure,short_exposure,gross_exposure,net_exposure
2022-01-03T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,390.7568054199219,0.0,0.0,0.0,0.0
2022-01-04T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,385.68841552734375,0.0,0.0,0.0,0.0
2022-01-05T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,373.8397216796875,0.0,0.0,0.0,0.0
2022-01-06T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,373.57696533203125,0.0,0.0,0.0,0.0
2022-01-07T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,369.5301818847656,0.0,0.0,0.0,0.0
2022-01-10T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,369.7733154296875,0.0,0.0,0.0,0.0
2022-01-11T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,375.32806396484375,0.0,0.0,0.0,0.0
2022-01-12T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,376.8164978027344,0.0,0.0,0.0,0.0
2022-01-13T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,367.38995361328125,0.0,0.0,0.0,0.0
2022-01-14T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,369.67608642578125,0.0,0.0,0.0,0.0
2022-01-18T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,360.47332763671875,0.0,0.0,0.0,0.0
2022-01-19T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,356.5140380859375,0.0,0.0,0.0,0.0
2022-01-20T00:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,351.8834533691406,0.0,0.0,0.0,0.0
2022-01-21T00:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,342.1262512207031,0.0,0.0,0.0,0.0
2022-01-24T00:00:00Z,99975.0,124975.0,RISK_OFF,1,0.00025,343.6924743652344,0.0,25000.000000000004,25000.000000000004,-25000.000000000004
2022-01-25T00:00:00Z,100554.54256371915,124975.0,RISK_OFF,1,0.0,335.72509765625,0.0,24420.45743628084,24420.45743628084,-24420.45743628084
2022-01-26T00:00:00Z,100592.75030711372,124975.0,RISK_OFF,1,0.0,335.1998291015625,0.0,24382.249692886286,24382.249692886286,-24382.249692886286
2022-01-27T00:00:00Z,100838.29255206505,124975.0,RISK_OFF,1,0.0,331.8241882324219,0.0,24136.707447934958,24136.707447934958,-24136.707447934958
2022-01-28T00:00:00Z,100081.14347305102,124975.0,RISK_OFF,1,0.007508547198209355,342.2332458496094,0.0,24893.85652694898,24893.85652694898,-24893.85652694898
2022-01-31T00:00:00Z,99285.08296399034,124975.0,RISK_OFF,1,0.015402973897765583,353.17724609375,0.0,25689.91703600967,25689.91703600967,-25689.91703600967
2022-02-01T00:00:00Z,99110.29785479902,124975.0,RISK_ON,1,0.017136294690569296,355.58013916015625,0.0,25864.702145200972,25864.702145200972,-25864.702145200972
2022-02-02T00:00:00Z,98866.13604320592,90937.312214822,RISK_ON,1,0.01955761505819689,358.4693298339844,7928.823828383922,0.0,7928.823828383922,7928.823828383922
2022-02-03T00:00:00Z,98794.68991976186,90937.312214822,RISK_ON,1,0.02026613680758256,343.9356384277344,7857.377704939867,0.0,7857.377704939867,7857.377704939867
2022-02-04T00:00:00Z,98865.28017543175,90937.312214822,RISK_OFF,1,0.019566102585628253,348.27435302734375,7927.967960609742,0.0,7927.967960609742,7927.967960609742
2022-02-07T00:00:00Z,98927.83989769462,115628.91593863607,RISK_ON,2,0.018945706100527416,345.4726867675781,8015.2440029164845,24716.320043857933,32731.564046774416,-16701.07604094145
2022-02-08T00:00:00Z,98905.37501744082,90609.9080090259,RISK_ON,1,0.019168487344489876,349.3541564941406,8295.46700841492,0.0,8295.46700841492,8295.46700841492
2022-02-09T00:00:00Z,99035.86147746471,90609.9080090259,RISK_ON,1,0.017874470391986228,356.75726318359375,8425.953468438822,0.0,8425.953468438822,8425.953468438822
2022-02-10T00:00:00Z,99060.24676956043,90609.9080090259,RISK_ON,1,0.01763264467797859,348.682861328125,8450.33876053454,0.0,8450.33876053454,8450.33876053454
2022-02-11T00:00:00Z,98829.2226125914,90609.9080090259,RISK_ON,1,0.019923680663635954,337.6221008300781,8219.314603565505,0.0,8219.314603565505,8219.314603565505
2022-02-14T00:00:00Z,99045.27404027544,90609.9080090259,RISK_OFF,1,0.01778112725246541,338.0403747558594,8435.366031249545,0.0,8435.366031249545,8435.366031249545
2022-02-15T00:00:00Z,99651.97659186834,115346.46520058469,RISK_OFF,2,0.011764538353167615,346.4454650878906,9066.829901352503,24761.318510068857,33828.14841142136,-15694.488608716354
2022-02-16T00:00:00Z,99738.23129633893,115346.46520058469,RISK_OFF,2,0.010909161865847077,346.3580017089844,9146.833380734854,24755.067284980618,33901.90066571547,-15608.233904245764
