date,equity,cash,regime,n_positions,drawdown,qqq_close,long_exposure,short_exposure,gross_exposure,net_exposure
2024-08-14T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,457.93,0.0,0.0,0.0,0.0
2024-08-15T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,469.5,0.0,0.0,0.0,0.0
2024-08-16T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,470.1,0.0,0.0,0.0,0.0
2024-08-19T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,476.28,0.0,0.0,0.0,0.0
2024-08-20T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,475.28,0.0,0.0,0.0,0.0
2024-08-21T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,477.49,0.0,0.0,0.0,0.0
2024-08-22T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,469.92,0.0,0.0,0.0,0.0
2024-08-23T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,475.02,0.0,0.0,0.0,0.0
2024-08-26T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,470.41,0.0,0.0,0.0,0.0
2024-08-27T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,471.81,0.0,0.0,0.0,0.0
2024-08-28T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,466.46,0.0,0.0,0.0,0.0
2024-08-29T04:00:00Z,99940.0,39940.0,RISK_ON,10,0.0006,465.78,60000.0,0.0,60000.0,60000.0
2024-08-30T04:00:00Z,99911.72770106887,39940.0,RISK_ON,10,0.0008827229893112963,471.33,59971.72770106887,0.0,59971.72770106887,59971.72770106887
2024-09-03T04:00:00Z,98181.0888124551,39940.0,RISK_ON,10,0.018189111875449016,457.02,58241.088812455106,0.0,58241.088812455106,58241.088812455106
2024-09-04T04:00:00Z,97394.23616101636,39940.0,RISK_ON,10,0.026057638389836355,455.83,57454.236161016364,0.0,57454.236161016364,57454.236161016364
2024-09-05T04:00:00Z,97371.67580418204,39940.0,RISK_ON,10,0.02628324195817957,456.26,57431.675804182036,0.0,57431.675804182036,57431.675804182036
