date,equity,cash,regime,n_positions,drawdown,qqq_close,long_exposure,short_exposure,gross_exposure,net_exposure
2024-08-14T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,457.93,0.0,0.0,0.0,0.0
2024-08-15T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,469.5,0.0,0.0,0.0,0.0
2024-08-16T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,470.1,0.0,0.0,0.0,0.0
2024-08-19T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,476.28,0.0,0.0,0.0,0.0
2024-08-20T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,475.28,0.0,0.0,0.0,0.0
2024-08-21T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,477.49,0.0,0.0,0.0,0.0
2024-08-22T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,469.92,0.0,0.0,0.0,0.0
2024-08-23T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,475.02,0.0,0.0,0.0,0.0
2024-08-26T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,470.41,0.0,0.0,0.0,0.0
2024-08-27T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,471.81,0.0,0.0,0.0,0.0
2024-08-28T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,466.46,0.0,0.0,0.0,0.0
2024-08-29T04:00:00Z,102020.57712061219,0.0,RISK_ON,13,0.0,465.78,102020.57712061219,0.0,102020.57712061219,102020.57712061219
2024-08-30T04:00:00Z,102282.42563530778,0.0,RISK_ON,13,0.0,471.33,102282.42563530778,0.0,102282.42563530778,102282.42563530778
2024-09-03T04:00:00Z,99079.74118480533,0.0,RISK_ON,13,0.031312167565538125,457.02,99079.74118480533,0.0,99079.74118480533,99079.74118480533
2024-09-04T04:00:00Z,99665.11484225147,0.0,RISK_ON,13,0.0255890567397027,455.83,99665.11484225147,0.0,99665.11484225147,99665.11484225147
2024-09-05T04:00:00Z,99802.9086893061,0.0,RISK_ON,13,0.024241866875962612,456.26,99802.9086893061,0.0,99802.9086893061,99802.9086893061
