date,equity,cash,regime,n_positions,drawdown,qqq_close
2024-08-14T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,457.93
2024-08-15T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,469.5
2024-08-16T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,470.1
2024-08-19T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,476.28
2024-08-20T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,475.28
2024-08-21T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,477.49
2024-08-22T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,469.92
2024-08-23T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,475.02
2024-08-26T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,470.41
2024-08-27T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,471.81
2024-08-28T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,466.46
2024-08-29T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,465.78
2024-08-30T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,471.33
2024-09-03T04:00:00Z,100000.0,100000.0,CRISIS,0,0.0,457.02
2024-09-04T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,455.83
2024-09-05T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,456.26
2024-09-06T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,444.03
2024-09-09T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,449.74
2024-09-10T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,453.9
2024-09-11T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,463.76
2024-09-12T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,468.31
2024-09-13T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,470.41
2024-09-16T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,468.33
2024-09-17T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,468.58
2024-09-18T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,466.55
2024-09-19T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,478.34
2024-09-20T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,477.43
2024-09-23T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,478.7
2024-09-24T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,481.01
2024-09-25T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,481.45
2024-09-26T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,485.07
2024-09-27T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,482.38
2024-09-30T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,483.68
2024-10-01T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,476.94
2024-10-02T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,477.62
2024-10-03T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,477.26
2024-10-04T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,482.94
2024-10-07T04:00:00Z,100000.0,100000.0,RISK_OFF,0,0.0,477.77
2024-10-08T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,484.9
2024-10-09T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,488.72
2024-10-10T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,488.16
2024-10-11T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,488.93
2024-10-14T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,493.03
2024-10-15T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,486.44
2024-10-16T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,486.5
2024-10-17T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,486.84
2024-10-18T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,490.03
2024-10-21T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,490.97
2024-10-22T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,491.5
2024-10-23T04:00:00Z,100000.0,100000.0,RISK_ON,0,0.0,483.97
2024-10-24T04:00:00Z,99946.0,45946.0,RISK_ON,18,0.0,487.9
2024-10-25T04:00:00Z,100655.1178271172,52142.66456775453,RISK_ON,18,0.0,490.87
2024-10-28T04:00:00Z,101100.73538089608,53558.21055805925,RISK_ON,20,0.0,490.95
2024-10-29T04:00:00Z,101324.86091352325,54764.14256230519,RISK_ON,22,0.0,495.66
2024-10-30T04:00:00Z,101181.700497947,54862.73549269307,RISK_ON,22,0.0014837861167357877,491.92
2024-10-31T04:00:00Z,100493.00881372266,59625.53444889294,RISK_OFF,21,0.008293655261102833,479.5
2024-11-01T04:00:00Z,100712.43798489777,56601.049201649046,RISK_ON,22,0.006145571115506836,483.05
2024-11-04T05:00:00Z,100855.81209455756,55519.25594638124,RISK_ON,22,0.0046517035872299575,481.64
2024-11-05T05:00:00Z,101558.17944893325,58582.15301358528,RISK_ON,22,0.0,487.79
2024-11-06T05:00:00Z,101750.26337429833,64829.48518797806,RISK_ON,22,0.0,501.04
2024-11-07T05:00:00Z,102694.08101617638,64157.40003939696,RISK_ON,22,0.0,508.92
2024-11-08T05:00:00Z,102760.91157429111,63069.453556819244,RISK_ON,22,0.0,509.52
2024-11-11T05:00:00Z,103937.06226999358,67979.20955179443,RISK_ON,22,0.0,509.22
2024-11-12T05:00:00Z,103593.57149145011,65294.35477961999,RISK_ON,22,0.0033179142779893225,508.3
